username,full_text,topic,predicted_label,probability_emotion
AgustiniSukardi,@iradiojogja Yeeyyyy congrat Timnas Indonesia!!! Pagi Kak Ari &amp; Kak Adel Alhamdulillah nyenyak mkspn ngga ikut nonton timnas berlaga tp ikut senang dg kemenangan Garuda Muda ️ Request lagu Boleh Juga dan Rumah dari Salma Salsabil yak?! Terima kasih selamat beraktivitas ,3,Joy,0.946038007736206
garem_oren,Ini federasi sama timnas nya tinggal nunggu kena azab aja,3,Anger,0.3100939989089966
akankulepas,@muhfirda__ @idextratime @erickthohir Ian Maatsen bukannya dipanggil timnas Belanda ya? Gara gara De Jong dicoret,9,Anger,0.3691153824329376
qvgkly,@idextratime Info2 sp aja yg mau gabung timnas gaes,1,Neutral,0.32910436391830444
mhafidzn_,Oh gini rasanya punya timnas keren #TimnasDay https://t.co/O0iy69Yapk,3,Joy,0.7178540229797363
dmx347,@erickthohir Aduh pak sekelas timnas tapi lapangan ancur gitu .,4,Anger,0.3454507291316986
tbzueyon,@mayaramadanty @00beinghuman Aku cogil nya idzes sejak dia debut timnas wkwkw bukan cegil tp,3,Joy,0.29441311955451965
bungsulieurr,@fahmiiiiii14 @idextratime Di stadion yang sama melawan timnas yang sama damn... ,4,Anger,0.23432525992393494
_the_blue_sea_,@Xenoverse98 @idextratime @bliblidotcom Timnas pusat: Bang Jago Belanda Timnas cabang: Kak Indo oke gas Timnas ranting: Dik Suriname cah bagos,9,Sad,0.28095656633377075
ariwibo80086283,@Indostransfer yg ranking 100+ cuma Indonesia aja lho sementara ini.. tp tetep bangga dan apresiasi untuk Timnas kita menyala Garuda ku,1,Anger,0.2562847137451172
SamFerkyFers10,Euro terakhir dan kompetisi internasional terakhir buat Oliver Giroud sebelum pensiun dari timnas. Dia udh menangin hampir semua level internasional: - juara World Cup + runner-up cmn lwt adu penalty - juara Nations League - juara UCL - juara UEL Juara Euro sbg penutup??,3,Neutral,0.48778674006462097
bocilgajelas,seruu banget bacain berita dan komen tentang timnas kalo pas menang ,3,Anger,0.26481014490127563
gagal_hijrah,Kita lihat semalam bagaimana kebanggan thd Timnas kita menggema di media sosial Nasionalisme tdk pakai Buzzing Pancasila hrusnya bisa masuk pd ruang2 sprti itu kebanggaan kecintaan pd Pancasila. Susah? Iya tp tdk dng smpai membayar anak2nya sndri utk mencintai Ibunya.,1,Sad,0.3772229850292206
rayobet,Well deserved... Maju terus timnas!!!,3,Anger,0.3310421407222748
idyllic48bola,@duertenoppert @vkwmflf @pra_dypta @Indostransfer Bahkan FMD pun lebih tepatnya kalo main home R2 Kualifikasi Pildun 2026 pun kalo Timnas Indo away harus beli hak siar terpisah dari kontrak dgn PSSI (itu sebabnya MNC juga siarkan laga Vietnam vs Filipina walaupun cuma di channel TV berbayar),3,Neutral,0.442681223154068
okezonenews,Update Ranking FIFA Hari Ini Rabu 12 Juni 2024: Timnas Indonesia Melonjak Vietnam Melorot dan Thailand Tembus 99 Dunia! https://t.co/hyAWMR3NXb,2,Anger,0.35048168897628784
BigBoss26858156,@caraguruh_ Itu baju kuning2 timnas Malaysia ya? Wkwowkwok,3,Anger,0.45212340354919434
curatedbyaku,bisa ga timnas tanding tiap hari biar gw ada tontonan,3,Neutral,0.26778939366340637
anton_chandz,Yg terhormat pak @erickthohir kalau nanti di match Timnas Indonesia mau ngundang artis after fulltime boleh saja pak. Tapi lagu wajib nyanyi itu #Indonesiapusaka bukan Rindu ini terasa indahnyaa yah pak,1,Joy,0.724933385848999
rianandrianargo,@ainurohman Udah mah ga pake jersey timnas nyanyinya ganggu sok asik pula malah nambah 2 lagu untung tau diri pas disorakin turun ,6,Anger,0.31917881965637207
adityaditama,@ainurohman Disaat 2 federasi sibuk bikin sejarah Mas. Cuma satu positif satu negatif. Federasi yang mana you know lah Mas. Hehe. Salut utk Semua jajaran @PSSI staf kepelatihan timnas dan para pemain timnas. Tantangan lebih berat ada di depan semoga kita benar2 cetak sejarah lolos Pildun.,2,Joy,0.5710530877113342
ddnanul,Hujan dari sejak siang hari sampai malam mengiringi kemenangan timnas Indonesia lolos ke round 3 penyisihan piala dunia 2026. Tapi tolong @DKIJakarta dan Dinas terkait renovasi terminal tanjung priok yang kebanjiran #dishubdki #banjir https://t.co/gvT842xpkZ,3,Joy,0.9263695478439331
dryuangga,@Indostransfer ngeri timnas kita levelnya udah gak sama brunei kamboja laos timor leste ,2,Anger,0.2986815571784973
a13Lee,di klub ada KDB di timnas ada Ode Haaland lagi nyaman-nyamannya,3,Anger,0.27926158905029297
kertowiyono6,@kbasatria @The_RedsIndo Timnas bukan buat ajang pemain down untuk balikin performa timnas adalah sekumpulan pemain dengan performa bagus dr pemain. Kalo down latihan lebih keras supaya dapet jam terbang di klub kalo gak dapet jam terbang maka lama lama insting bakal ilang. Udah otw liga 1 keknya,7,Anger,0.36730653047561646
Bisniscom,Timnas Qatar Kembali Jadi Sorotan Akibat Gol Kontroversial saat Atasi India 2-1 https://t.co/1SQfCG2Uup https://t.co/JGgW1UCzqL,1,Joy,0.3503955006599426
Centurion_04,@ainurohman heran tp menang kok bisa2 ny muncul Uda ahh.. lnjut kawan.timnas 🇮🇩,3,Anger,0.49436378479003906
ua_riyadin,Alhamdulillah Selamat yaa Timnas Putri Indonesia ... sukses selalu.....,3,Joy,0.9787458777427673
yayangdzaa,jadi ketagihan belajar bahasa belanda grgr timnas wkwk,3,Anger,0.3921555280685425
bemylight4u,Gini rasanya punya timnas keren ,4,Joy,0.7347363233566284
BrozovicAngga,@SiaranBolaLive Prediksi grup timnas : Korsel Qatar Uzbekistan Bahrain China Indonesia,2,Joy,0.4550474286079407
tunjungutomo,@SyahrulMuchtarm @JakOnline Depan kompleks rumahku persis ada lap bola tempat latihan slh satu klub anggota @ligapersebaya sejak timnas mulai berprestasi pasca Covid dan beberp pemain Persebaya/EPA ada di dalamnya klo hari latihan jalan aksesnya sampe terhambat oleh kendaraan pengantar,3,Neutral,0.278789222240448
d_edikusuma,@UpdateBolabola Lhaa Timnas bisa keoq;(,4,Anger,0.2751587927341461
chichiochi_,@Kayyisaaaaaa Keren timnas menyala,8,Joy,0.7790431380271912
bagoesz,@SiaranBolaLive Yang penting timnas Indonesia menang. GBK adalah stadion berkelas International. Rumput masih layak walaupun diguyur hujan. Bravo timnas Indonesia. Terimakasih Coach STY.,7,Joy,0.5041751861572266
sintachim,Kemarin full senyum karna timnas hari ini full senyum karna WWH pulang ️ @BTS #WelcomeBackJin,3,Joy,0.9772304892539978
_oochaa,@Kayyisaaaaaa Semangat timnas menyala,3,Joy,0.9108641743659973
_kyivv,@Xenoverse98 @idextratime @bliblidotcom Indo Timnas Ranting kah,3,Joy,0.25305354595184326
musyiela,klo emg biasanya dipake persib doang trs skrg dibawa smpe timnas it's okay.. isn't it? we're famous meskipun mreka blg di eropa juga ada yg pake BUT kmren2 kan kita baru juara trs rame chant itu yaudahlaaahhh ??,3,Anger,0.3176068961620331
markushasto1,@choymarkochoy Jangan lupa terimakasih buat pak @erickthohir yg bisa melobi fifa buat merubah jadwal timnas yg harusnya main terakhir di Filipina bisa dirubah ke GBK sehingga supporter bisa merayakan kemenangan sekaligus merayakan masuk round 3,7,Joy,0.8022337555885315
haridaresa,Feeling doa baik setelah hope timnas win pas bget seokjin finally kelar dan bts anivv ,3,Joy,0.7055710554122925
LaMasia_idn,Puas banget pertama kali nyetadion nonton timnas di GBK lagi (terakhir 2018) langsung disuguhi permainan cantik dari para pemain terutama Thom Haye. Semoga soon bisa nonton Barça langsung https://t.co/CdXwtWHykb,4,Joy,0.48186880350112915
bapakbapakfunny,@YoungLoyalty88 @nocontextpersib Yaaa kalau ini aku gag sepakat. Kamu aja benderanya gag cuma Indonesia bang Orang mau suka atau tidak sama klub Liga Indonesia itu urusan masing masing. Ndukung timnas atau enggak juga urusan masing-masing. Gag Masuk KUHP kok,3,Anger,0.35597580671310425
artetawayindo,@nocontextpersib Otak primitip apa2 dimasalahin pdhl buat timnas,2,Neutral,0.3453228175640106
IDNTimes,8 Potret Tissa Biani Perdana Nonton Timnas di Stadion Diajak Dul! https://t.co/wwE4aSI02A,3,Joy,0.46846944093704224
romdoniyyun,Seandainya timnas Indonesia satu grup dengan Palestina nanti tentu ini akan jadi momen yang krusial dan emosional.,3,Fear,0.28812679648399353
JiwaMencari,@radiopinguinfm Hanya lolomgan Nabla Taqiyyah cocok dg suasana kebangkitan timnas yang mengalahkan piliphin semalam setelah beberapa hari sebelumnya kalah melawan irak,3,Joy,0.2868734300136566
deskif150723,@00beinghuman Pemain yg dewasa sebelum umur nya Calon captain timnas di masa depan makasih untuk bang jay,3,Joy,0.39206746220588684
feri_ferdinan_,@txtdrremotetv @iridocyclitys Kemarin anaknya jadi pendamping timnas. Ini sudah pasti idenya si Anang.,3,Neutral,0.36111608147621155
merieca,@Kayyisaaaaaa Banggaaaa love timnas Indonesia ,3,Joy,0.5131096839904785
JIHY0KU,Pantes tidurku nyenyak banget timnas putri juga menang ternyata,8,Joy,0.5014929175376892
ensikleopedia,TERUS NGAPAIN BOSSS SEMALEM UDAH DIPINDAH Genepin bayarin aja harusnya anjir RCTI tuuh... yang gatau sistem pemegang kontrak bingung ga tuh wkwk Cuma demi friendly timnas anjir itu Emtek...,3,Anger,0.4607313871383667
ardy2782,@Riweh_Banget Alhamdulillah Timnas Indonesia semakin membaik semoga bs Piala Dunia... Dikenal bagus di mata dunia Aamiin ,2,Joy,0.8133696913719177
edvan_p,@erickthohir Selamat buat kelolosan Timnas Indonesia Pak. Tolong selanjutnya kasih tau panitia FT itu kasih momen supporter timnas ga usah gimik gimik karaoke FOMO. Next PR besar benerin liga ya Pak. Yuk bisa yuk,8,Neutral,0.5408515930175781
kristmasprince,Menyala timnas ku ,2,Sad,0.4667275547981262
tjoeaoneyo,jangan lupa sarapan pake kemenangan timnas hari ini ya cewe nathan (aku only wle) ️‍,3,Neutral,0.42609789967536926
dolvpy,Alhamdulillah Timnas Indonesia menang ,3,Neutral,0.4019508957862854
tttaatakaeee,@rahmammew @kamukamu11_ @idextratime gausah nonton bola kalo gamau dikerasin nonton plastik aja udeh sono. baru nonton timnas doang so paling tau goblok,3,Anger,0.5328673720359802
aprim4973,@Iyangaprill Wkwk slama gue nonton timnas sering pake syalalala apalgi di ug,7,Anger,0.3372251093387604
boyoftheyearrr,@Letterrnjnn rcti lupa kalo atmosfer sepakbola kita lagi naik otomatis dgn menyiarkan momen after match bisa menarik minat para masyarakat dan yg pasti menambah kesan dan nama baik dari pihak broadcaster btw ini ga cuma hanya waktu timnas tp waktu liga 1 kmrin jg gitu. salut emtek group,3,Anger,0.7165995240211487
ice_lychee_teaa,gmw ah maunya segrup sama timnas pusat,4,Anger,0.3065336346626282
DeadlyDazzle,@fauzisetiaw @idextratime @erickthohir pais main di timnas u21 waktu covid kemaren yg dimana umurnya sudah 22th jadi dianggap pemain senior oleh fifa dan fifa sendiri menolak perpindahan federasi. lalu Pssi meminta aju banding lewat pengadilan cas karena pssi tau ada celah disana yg bisa buat pais menang,3,Anger,0.46978533267974854
yourspecious,gara timnas baru kali ini ngeliat ada cowok yang ceweknya ngomong i love you ke cowok lain ga marah cemburu dll,3,Anger,0.4090375006198883
kayarayaaaaa,@fucknatisme @revengeeeee_ @idextratime @bliblidotcom Ya kan mereka curang wasitnya juga ga adil. Ya kali timnas indo vs wasit mulu.,2,Sad,0.3022415041923523
AsamAminoCoffee,@nocontextpersib Persib lebih tinggi dari timnas ya. Salut deh.,1,Anger,0.25468891859054565
liputan6dotcom,Top 3: Adu Mahal Timnas Indonesia Vs Filipina Bikin Penasaran https://t.co/msmAVFbFOB #Bisnis,9,Anger,0.3476361930370331
berrymintfrost_,agak salfok pas liat igs rizky febian ikylini timnas yeuu paulnabila timnasdeuy dahlah kalian berempat tuh!,3,Anger,0.3917604982852936
neufaisal,@Indostransfer Padahal pengen liat timnas vs Korut ~,8,Anger,0.3143545687198639
ibrokumar,Yang saya suka dari lolosnya timnas indo di kualifikasi piala dunia adalah kesempatan naik rangkingnya bisa tinggi banget. Terutama klo bisa menang di beberapa pertandingan. Nggak kayak selama ini. Menangnya cuma sama negara asia tenggara aja.,3,Anger,0.35493457317352295
confessyu,@Kayyisaaaaaa proud of timnas bisa terbang sejauh ini,3,Neutral,0.37056776881217957
eskapee_,@nocontextpersib psti langsung misuh misuh ngomong timnas jakarta,3,Anger,0.3828096091747284
Combro_Jumbo,@GIBOLofficial Mending mas Anang di Indonesia Idol ajah ga usah hadir di Timnas Indonesia... wkwkwkwk,3,Love,0.18868812918663025
petitestardust,Gila jg kalo dipikir Asian cup sebelumnya harus berjuang dari R1. Tapi next lgsung qualify Gini rasanya punya timnas keren.,2,Sad,0.5103152394294739
Xenoverse98,@idextratime @bliblidotcom Timnas pusat timnas cabang timnas ranting menang semua ti https://t.co/k4qG3Xdbuo,3,Neutral,0.3857024908065796
Fauziah01398513,@akunyup @HighlightS2945 @HabisNontonFilm Gaka da yg bilang ini pertandingan timnas,1,Anger,0.2833893299102783
tribunmedan,Posisi Timnas Indonesia di Ranking FIFA Merangkak Naik 5 Tiket Tersisa Menuju Piala Dunia https://t.co/LIZRFYImh2 via @tribunmedan,8,Neutral,0.3267557621002197
peopleofkolor,@00beinghuman Tunggu aja kalo main jelek di seria a atau blunder di timnas paling juga dihujat . .,3,Joy,0.2869888246059418
JamhurJamhur2,@philmcnulty Sejarah timnas inggris di piala Eropa terbaik hanya terjadi 4 tahun lalu setara Belgia. Finalis terbanyak adalah timnas Jerman.,3,Neutral,0.6944836974143982
hour_lymoon,rasanya ngeliat timnas full senyum gini tuh bahagia bgt yaaa️️,3,Joy,0.7821345925331116
balipuspanews,Libas Filipina Ranking FIFA Timnas Garuda Naik 4 Peringkat https://t.co/KPYQnOeLjX #Jakarta #Nasional #News #Sport #Filipina https://t.co/jLPEfiQ4YM,1,Joy,0.3567684292793274
HEFFERONZA,@wanstio @Indostransfer Makanya bagusnya kita jgn bicara banyak dulu sebelum ngalahkan satu atau dua tim di putaran 3. Kalau U23 kemarin dah teruji australia dan Korea bisa dihajar.timnas senior ini belum tahu.,3,Anger,0.2658231556415558
CNNIndonesia,Kronologi Timnas Indonesia Lolos ke Babak 3 Kualifikasi Piala Dunia https://t.co/TRmetp84oD,2,Joy,0.8197847604751587
siska_np,Hedeuh banget liat story org nnton Timnas semalam ntah aku lagi mudah sensi sama org org ato emg lebay aja caranya nobar ,8,Anger,0.5922291874885559
bagoesz,@SiaranBolaLive @fstyleanggit10 Yang penting timnas Indonesia menang. GBK adalah stadion kelas International. Kondisi rumput masih layak walaupun diguyur hujan. Tetap oke kok GBK. Bravo timnas Indonesia. Terimakasih Coach STY.,3,Neutral,0.48893409967422485
Bian_Alfiansyah,Perjuangan nonton timnas. Berangkat ujan2an terus pas duduk disamping gua cewe² sekali nathan bawa bola apa ada pemain timnas ganteng dikit teriak2 melengking bgt kaya suara tonggeret dihutan... Busett dahh. https://t.co/FHuQhgbFs4,3,Anger,0.5076290965080261
putrategar2709,Jay Idzes semalam benar-benar bikin tenang lini belakang. Justin Hubner juga bisa dibimbing dengan baik dan bebannya jauh berkurang. Selepas ini trio Rizky Ridho-Jay Idzes-Justin Hubner kayaknya yang bakal jadi trio utama di Timnas Indonesia. #TimNasDay,9,Sad,0.36979660391807556
halodiii,@idextratime @erickthohir Pak @erickthohir tolong naturalisasi semua pemain timnas prancis pak mumupung masih ada waktu saya yakin bakal EZ game pak serius.,4,Anger,0.45859354734420776
Cicilalang_ser,pertama hali gue yakin Timnas udah berubah ketika STY mampu ngebawa timnas runner up aff padahal itu pertama kali bagi beliau. Dan benar saja setelah itu kita lolos piala asia lewat kualifikasi dan 2 kali mengalahkan curacao yang saat itu peringkat 80-an fifa,3,Anger,0.35819000005722046
Mjhd_23,10 atau 20 tahun lalu klw lawan flipina jg menang trus bahkan sering kali skor besar. Bedanya dulu gak banyak bule aja di timnas.,3,Neutral,0.37244901061058044
kompasiana,Timnas Garuda Wakil Tunggal Asia Tenggara https://t.co/NYeRkN5iGg,4,Joy,0.3399806618690491
CNNIndonesia,Timnas Indonesia Selangkah Lagi ke Piala Dunia 2026 https://t.co/FOMSt2vILG,4,Joy,0.5616781115531921
BaroqahHusni,timnas main di GBK itu ribet ada tiga vendor soalnya.. sesneg yg mengelola GBK berikut acaranya broadcaster yg siaran dan PSSI sebagai peserta yg melakukan agenda FIFA. jika tidak musyawarah hasilnya jadi rumput jelek dan tiba-tiba anang konser di momen paling sakral ,3,Anger,0.49361443519592285
Retrouvailleste,Ternyata ada suporter klub lokal yg nyinyirin timnas ngerasa klubnya lebih besar dari timnas. Ya bebas aja si sebenernya cuma ya diem-diem aja sih harusnya gausah haus validasi.,1,Anger,0.3520936071872711
deryan72,Timnas keren Yang fomo gak keren,8,Joy,0.8758241534233093
unamediff,@riswandiabdul @kakangcullay @nocontextpersib wkwkwkw jigana salah nempo nempona timnas jerman meureun,3,Neutral,0.38577380776405334
bocilkemati4n,@yunuskedua Hayo timnas menang tu,4,Joy,0.23512747883796692
kepin_kep,- Formula E balik ke Jakarta lagi - Timnas Indonesia lolos ke Piala Asia &amp; Babak ke 3 kualifikasi pildun - Verdonk sangat menjanjikan - Ten Hag perpanjang kontrak Indahnya dunia ,6,Neutral,0.251742422580719
tempodotco,Shin Tae-yong Cari Pemain Keturunan Lagi Usai Timnas Lolos ke Putaran Ketiga Kualifikasi Piala Dunia 2026 https://t.co/LyROPCJj55 #TempoBola,4,Joy,0.35142067074775696
xlovine,EH TIMNAS PUTRI INDONESIA JG MENANG YAA? CONGRATULATIONS Kece Scheuneman Zahmuz Citra dan semuanyaaa! Tim ketiduran pas half time gegara skrg kelas pagi,3,Anger,0.44742587208747864
pirkicingiji,@UpdateBolabola Timnas mestinya sama TVRI aja. Jadi free striming.,8,Anger,0.27960360050201416
IDNTimesSport,Reaksi Calvin Verdonk Usai Debut Bareng Timnas Indonesia https://t.co/AZKRgkaKYJ,2,Joy,0.6970402598381042
Parj0B,@dbowo99 @afcasiancup lawannya entar bukan timnas nya tapi duit minyak bro,3,Anger,0.4178982675075531
shalofficial_,@Iyangaprill @luinnagara Lain yang loba bobotoh teu resep timnas dan malah menganggap persib teh timnasna org jabar. Boa edan,3,Joy,0.3747994899749756
CNNIndonesia,Pelatih Filipina Puji Timnas Indonesia Usai Kalah di GBK https://t.co/kDyUbY67jP,6,Joy,0.3580814003944397
SekarPandann,@samsecond_ SDM rendah IQ 78 yg kalau timnas kalah lngsung rasis polisnya aja ikut kepancing . The real IQ 78 :(,1,Anger,0.3790321350097656
PinkyL_SM029_,@kibooocil Akhirnya mnang walaupun G nnton soalny klo nnton sllu klh jd tkut G prnh nnton lg klo timnas main cmn lihat hasil akhir aja,7,Fear,0.9729559421539307
aw_yena,@rianfatur @okinantan @fallingmonstar @SiaranBolaLive So... it must be Australia? Mengingat di piala asia kemarin timnas bisa ngobok2 di babak pertama. Tapi secara mental bagusan mrk sih harusnya krn udah langganan pildun,2,Sad,0.8377302289009094
Baseballfuries,@fayzaans_ @nocontextpersib Wkwkwkwkwk euweuh timnas timnas lah this is Persib! Garugah,3,Joy,0.728115975856781
PanjiScooteris,Apa kolerasi nya keluarga ini sama timnas? anak nya bisa jd player escort bpk emak nya nyanyi penutup laga yg semestinya kans supporter nyanyiin Indonesia pusaka utk punggawa nya dilapangan,3,Anger,0.3408971130847931
ledekrepp,@_shanindira Yah aku nonton timnas ketiduran ga nonton live nya. masih dicubitin ga?,2,Joy,0.25832635164260864
LaloMuslim33038,Timnas Indonesia satu-satunya dari Asia Tenggara yang lolos ke putaran ketiga Kualifikasi Piala Dunia 2026 https://t.co/4dpdbbY84E,2,Joy,0.6946992874145508
officialinews_,Kata Thom Haye usai Cetak Gol Debut di Timnas Indonesia: Hari yang Spesial! https://t.co/R4Z0N3o9CI,4,Joy,0.22948740422725677
amelamalia2088,STY Puji Performa Calvin Verdonk pada Debut Perdananya Bersama Timnas Indonesia https://t.co/BROTME1w3O lewat @KanalnewsC #TimNasDay #timnas,3,Joy,0.7449342012405396
BudiAri47581956,@idextratime Anang merusak suasana hati...utk pak Erik Tohir klo timnas main di gbk lg jangan ajak2 anang lg dong..snnrnya lagu indonesia raya dan indonesia pusaka sdh sangat2 bagus gk usah ada lg lain untuk momen2 spt ini,3,Sad,0.43332281708717346
Baseballfuries,@yyasirlana @luinnagara @nocontextpersib @Northsweet21 Euweuh timnas timnas this is Persib!,4,Joy,0.7351762056350708
lahfikar,@Kokorotomo51 @nocontextpersib Parah lu bang supporter timnas niruin Persib loh ,4,Anger,0.4187295436859131
